,salary_min,salary_max,salary_currency,site,name,link
121,200000.0,,₽,hh.ru,Разработчик Python (FastAPI),https://volgograd.hh.ru/vacancy/83267180?from=vacancy_search_list&query=python
122,60000.0,120000.0,₽,hh.ru,Python-разработчик,https://volgograd.hh.ru/vacancy/83200118?from=vacancy_search_list&query=python
123,200000.0,350000.0,₽,hh.ru,Разработчик Python (Облачные технологии) удаленно,https://volgograd.hh.ru/vacancy/83293828?from=vacancy_search_list&query=python
124,,180000.0,₽,hh.ru,Backend Middle+ Python разработчик,https://volgograd.hh.ru/vacancy/82824575?from=vacancy_search_list&query=python
125,150000.0,200000.0,₽,hh.ru,Middle Python developer,https://volgograd.hh.ru/vacancy/72687504?from=vacancy_search_list&query=python
126,,,,hh.ru,Python Django - ментор,https://volgograd.hh.ru/vacancy/83064869?from=vacancy_search_list&query=python
127,150000.0,250000.0,₽,hh.ru,Middle Backend Data Engineer (Python),https://volgograd.hh.ru/vacancy/82510262?from=vacancy_search_list&query=python
128,110000.0,180000.0,₽,hh.ru,Middle Python backend developer,https://volgograd.hh.ru/vacancy/83409678?from=vacancy_search_list&query=python
129,150000.0,250000.0,₽,hh.ru,Middle Backend Data Engineer (Python),https://volgograd.hh.ru/vacancy/82510263?from=vacancy_search_list&query=python
130,,,,hh.ru,Преподаватель курса - Python для анализа данных,https://volgograd.hh.ru/vacancy/83798492?from=vacancy_search_list&query=python
131,15000.0,65000.0,₽,hh.ru,Педагог по курсам Python и Scratch,https://volgograd.hh.ru/vacancy/83746625?from=vacancy_search_list&query=python
132,75000.0,125000.0,₽,hh.ru,Преподаватель Python,https://volgograd.hh.ru/vacancy/83128333?from=vacancy_search_list&query=python
133,120000.0,250000.0,₽,hh.ru,Аналитик данных Python,https://volgograd.hh.ru/vacancy/83302732?from=vacancy_search_list&query=python
134,100000.0,150000.0,₽,hh.ru,Python-разработчик / Junior Python Developer,https://volgograd.hh.ru/vacancy/83041941?from=vacancy_search_list&query=python
135,,200000.0,₽,hh.ru,Python Middle разработчик,https://volgograd.hh.ru/vacancy/83345919?from=vacancy_search_list&query=python
136,200000.0,,₽,hh.ru,Senior Python developer,https://volgograd.hh.ru/vacancy/83302720?from=vacancy_search_list&query=python
137,100000.0,,₽,hh.ru,Python разработчик (Django),https://volgograd.hh.ru/vacancy/83324816?from=vacancy_search_list&query=python
